clasificacion1,clasificacion2,nombreDispositivo,op,paginas,rubro,sector,sumilla,tipoDispositivo,urlPDF,urlPortada,fechaPublicacion
RESOLUCION MINISTERIAL,,N° 0266-2024-JUS,2336202-1,1,558,2073,Modifican la Resolución Ministerial N° 0265-2024-JUS,RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/4m4enKEdanyBG5xNxSDL7U/*/2336202-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/4m4enKEdanyBG5xNxSDL7U/*/2336202-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 0267-2024-JUS,2336205-1,2,558,2073,"Autorizan viaje de Coordinadora Ejecutiva de la Unidad Funcional, Encargada de Implementar y Ejecutar disposiciones de la Ley N° 30737 a los EE.UU., en comisión de servicios ",RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/1GXlYWnHK939cF6fPK7fWb/*/2336205-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/1GXlYWnHK939cF6fPK7fWb/*/2336205-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 0789-2024-RE,2335338-1,1,558,2074,Aceptan renuncia de Asesora en el Despacho Ministerial ,RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/DHMjflUhKoIA5hfuQxqhlc/*/2335338-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/DHMjflUhKoIA5hfuQxqhlc/*/2335338-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 0791-2024-RE,2335339-1,2,558,2074,"Autorizan viajes de funcionarios diplomáticos y asistente a Colombia, en comisión de servicios",RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/8j-wREhvKB3BLznTT7Vqv7/*/2335339-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/8j-wREhvKB3BLznTT7Vqv7/*/2335339-1_thumb.jpg/JPG,20241019
RESOLUCION,,Nº 077-2024-PRONIS-CG,2335869-1,2,558,2075,Designan  Asesora de la Coordinación General del Programa Nacional de Inversiones en Salud,RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/02xmLNq54I18bCjogbI_YC/*/2335869-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/02xmLNq54I18bCjogbI_YC/*/2335869-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,Nº 709-2024/MINSA,2336098-1,2,558,2075,"Autorizan viaje de profesionales de la Dirección General de Medicamentos, Insumos y Drogas a Colombia, en comisión de servicios",RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/EmD1obV740t8iPnl4Dn8VC/*/2336098-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/EmD1obV740t8iPnl4Dn8VC/*/2336098-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,Nº 710-2024/MINSA,2336100-1,2,558,2075,"Dan por finalizada la alerta roja en establecimientos de salud y en la oferta móvil complementaria instalada a nivel nacional, ante los efectos del COVID-19, declarada por R.M. N° 225-2020-MINSA y derogan la R.M. N° 309-2020-MINSA",RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/7DTpLru-KLh8R6RiAj8iaW/*/2336100-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/7DTpLru-KLh8R6RiAj8iaW/*/2336100-1_thumb.jpg/JPG,20241019
DECRETO SUPREMO,,N° 019-2024-SA,2336206-3,9,558,2075,"Decreto Supremo que aprueba el Reglamento de la Ley N° 30885, Ley que establece la conformación y el funcionamiento de las Redes Integradas de Salud - RIS",DECRETO SUPREMO,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/3DQ_jNQZ49NBoXpde3nxQ_/*/2336206-3.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/3DQ_jNQZ49NBoXpde3nxQ_/*/2336206-3_thumb.jpg/JPG,20241019
RESOLUCION SUPREMA,,N° 015-2024-TR,2336206-10,2,558,2076,"Designan miembro del Consejo Directivo de la Superintendencia Nacional de Fiscalización Laboral - SUNAFIL, en representación de la SUNAT",RESOLUCION SUPREMA,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/DasnfKvnaX4AtjMeExP-O2/*/2336206-10.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/DasnfKvnaX4AtjMeExP-O2/*/2336206-10_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 312-2024-MINCETUR,2335706-1,1,558,2078,Designan Asesor I del Gabinete de Asesores del Despacho Ministerial ,RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/8Ws-XQPjqBZAHvRuPsJ8mz/*/2335706-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/8Ws-XQPjqBZAHvRuPsJ8mz/*/2335706-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 309-2024-MINCETUR,2335413-1,2,558,2078,Autorizan viaje de funcionario para participar en evento a realizarse en Francia,RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/DRNkWGooaOf8SWvHXhPui9/*/2335413-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/DRNkWGooaOf8SWvHXhPui9/*/2335413-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,Nº 317-2024-MINCETUR,2335789-1,2,558,2078,"Autorizan viaje de funcionaria para participar en eventos a realizarse en la ciudad de Willemstad, País de Curazao",RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/DLnMlPrVamYAwbIPxByXRu/*/2335789-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/DLnMlPrVamYAwbIPxByXRu/*/2335789-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 599-2024-MTC/01.03,2335379-1,2,558,2079,Otorgan a la empresa LLAQTA TELECOM PERU S.A.C. Concesión Única para la prestación de servicios públicos de telecomunicaciones en área que comprende todo el territorio de la República ,RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/9fAhZ8NkaaKA5VS51GpT1i/*/2335379-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/9fAhZ8NkaaKA5VS51GpT1i/*/2335379-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 603-2024-MTC/01.03,2335417-1,2,558,2079,Otorgan a la empresa FIBRACOM NETWORK E.I.R.L. Concesión Única para la prestación de servicios públicos de telecomunicaciones en área que comprende todo el territorio de la República ,RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/Es6RvfvvaH9A4gqkDlK30Q/*/2335417-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/Es6RvfvvaH9A4gqkDlK30Q/*/2335417-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 600-2024-MTC/01.02,2335410-1,3,558,2079,Aprueban ejecución de Expropiación de inmueble afectado por la ejecución del proyecto: “Construcción del anillo vial periférico de la ciudad de Lima y Callao” y el valor de tasación ,RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/DiQrAZIq4JH9kB_4EPEtOq/*/2335410-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/DiQrAZIq4JH9kB_4EPEtOq/*/2335410-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 325-2024-MIMP      ,2336196-1,1,558,2080,Aprueban el Padrón de Beneficiarios de la Subvención Económica por Acogimiento Familiar (PB-SEAF) correspondiente al mes de septiembre de 2024 y el monto total por concepto de subvención económica,RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/FFJ3Emw3Krm8IAaYpo-coY/*/2336196-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/FFJ3Emw3Krm8IAaYpo-coY/*/2336196-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 327-2024-MIMP ,2336219-1,2,558,2080,"Autorizan viaje de profesional del Ministerio a la República de El Salvador, en comisión de servicios",RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/E14qcNB74xxBRWU8RKhCiJ/*/2336219-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/E14qcNB74xxBRWU8RKhCiJ/*/2336219-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 324-2024-MIMP,2336195-1,1,558,2080,Designan Coordinador de la Sub Unidad de Potencial Humano de la Unidad de Administración (hoy Unidad de Recursos Humanos) del Programa Integral Nacional para el Bienestar Familiar - INABIF ,RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/3ZHx4NNqaEfBMdj3dIqCwT/*/2336195-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/3ZHx4NNqaEfBMdj3dIqCwT/*/2336195-1_thumb.jpg/JPG,20241019
RESOLUCION,,N° 002-2024-IMARPE/PE,2335787-1,2,558,2082,Autorizan transferencia financiera a favor de la Contraloría General de la República con cargo al Presupuesto Institucional del Instituto del Mar del Perú – IMARPE,RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/FEprJFR_KhI8kKMtrCoiyt/*/2335787-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/FEprJFR_KhI8kKMtrCoiyt/*/2335787-1_thumb.jpg/JPG,20241019
DECRETO SUPREMO,,N° 015-2024-PRODUCE,2336206-4,2,558,2082,"Decreto Supremo que modifica el artículo 10 del Reglamento de la Ley General de Acuicultura, aprobado por Decreto Supremo N° 003-2016-PRODUCE",DECRETO SUPREMO,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/BttqR3uKqC394CV5B75qRY/*/2336206-4.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/BttqR3uKqC394CV5B75qRY/*/2336206-4_thumb.jpg/JPG,20241019
RESOLUCION JEFATURAL,,N° 000144-2024-SIS/J,2336001-1,1,8936,2085,Designan Gerente Macro Regional de la Gerencia Macro Regional Sur del Seguro Integral de Salud,RESOLUCION JEFATURAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/1jBgXMRv40j99tuaUSqn2E/*/2336001-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/1jBgXMRv40j99tuaUSqn2E/*/2336001-1_thumb.jpg/JPG,20241019
RESOLUCION,,N° 000146-2024-SIS/J,2336138-1,3,8936,2085,Aprueban Transferencia Financiera del SIS a favor de diversas unidades ejecutoras,RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/1oMWTpBAaL29lWS_i_qrcA/*/2336138-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/1oMWTpBAaL29lWS_i_qrcA/*/2336138-1_thumb.jpg/JPG,20241019
RESOLUCION JEFATURAL,,N° 000145-2024-SIS/J,2336134-1,2,8936,2085,Derogan la Resolución Jefatural N° 190-2014/SIS que aprobó la Directiva Administrativa N° 001-2014-GNF-V.01,RESOLUCION JEFATURAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/2a-BtuOFq6kAZYdJm9zXDl/*/2336134-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/2a-BtuOFq6kAZYdJm9zXDl/*/2336134-1_thumb.jpg/JPG,20241019
RESOLUCION JEFATURAL,,N° 000147-2024-SIS/J,2336141-1,2,8936,2085,Aprueban transferencia financiera del SIS a favor de diversas unidades ejecutoras,RESOLUCION JEFATURAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/D9D8t47garw8Shbq1oxmwf/*/2336141-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/D9D8t47garw8Shbq1oxmwf/*/2336141-1_thumb.jpg/JPG,20241019
LEY,,N° 32138,2336227-1,2,555,557,"Ley que modifica la Ley 30077, Ley contra el Crimen Organizado, modificada por la Ley 32108",LEY,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/FNrUFsfwqNz8veoOxm5yce/*/2336227-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/FNrUFsfwqNz8veoOxm5yce/*/2336227-1_thumb.jpg/JPG,20241019
RESOLUCION DIRECTORAL,,N° 000149-2024-DGPA-VMPCIC/MC,2335510-1,2,558,9012,"Determinan la Protección Provisional del Sitio Arqueológico Cerro Colorado-I, ubicado en los distritos de Saña y Tumán, provincia de Chiclayo, departamento de Lambayeque",RESOLUCION DIRECTORAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/Fa7F3KBKKfeALN7LUYK_E-/*/2335510-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/Fa7F3KBKKfeALN7LUYK_E-/*/2335510-1_thumb.jpg/JPG,20241019
RESOLUCION DIRECTORAL,,N° 000152-2024-DGPA-VMPCIC/MC,2335672-1,2,558,9012,"Determinan la Protección Provisional del Sitio Arqueológico Juan Velasco Alvarado 4, ubicado en el distrito de Buenos Aires, Provincia de Morropón, Departamento de Piura",RESOLUCION DIRECTORAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/2EXoC-c-KBi9nNA__38aCC/*/2335672-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/2EXoC-c-KBi9nNA__38aCC/*/2335672-1_thumb.jpg/JPG,20241019
RESOLUCION,,N° D000627-2024-MIDIS/PNAEQW-DE,2336113-1,1,558,9052,"Designan Jefe de la Unidad de Planeamiento, Presupuesto y Modernización del Programa Nacional de Alimentación Escolar Qali Warma",RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/8Hgnd29v4v_9i2wDOJkkGL/*/2336113-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/8Hgnd29v4v_9i2wDOJkkGL/*/2336113-1_thumb.jpg/JPG,20241019
RESOLUCION,,N° 012389-2024-R/UNMSM,2335521-1,2,606,9068,"Ratifican resolución y autorizan viaje de docente de la Universidad Nacional Mayor de San Marcos a Chile, en comisión de servicios",RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/Aarfggi44EdBIdGDg54Dgf/*/2335521-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/Aarfggi44EdBIdGDg54Dgf/*/2335521-1_thumb.jpg/JPG,20241019
RESOLUCION,,N° 222-2024-SUNAFIL,2336119-1,2,8938,9123,Designan Asesor I de la Gerencia General de la Superintendencia Nacional de Fiscalización Laboral – SUNAFIL,RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/D6L-O1ao4BU9_S-w_tEKmZ/*/2336119-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/D6L-O1ao4BU9_S-w_tEKmZ/*/2336119-1_thumb.jpg/JPG,20241019
